Hole,Target,AP,ML
A1,LH ORB,2.35,1.0
B1,LH ACA,1.1,0.8
C1,LH PTLp,-2.25,1.8
D1,LH AUD,-2.7,4.05
E1,LH VISp,-3.6,2.3
F1,Ground wire,2.2,1.9
